CHANNEL1;CHANNEL2;CHANNEL3;ENTRY AGE;SEX;POLICY TYPE 1;POLICY TYPE 2;POLICY TYPE 3;PAYMENT MODE;POLICY STATUS;BENEFIT;NON LAPSE GUARANTEED;SUBSTANDARD RISK;NUMBER OF ADVANCE PREMIUM;INITIAL BENEFIT;Full Benefit?;Policy Year (Decimal);Policy Year;Premium;Issue Date;;
1;1;1;36;F;1;1;A;Annually;Inforce; 200,000 ;NO NLG;0;0;0;N;8;9; 280 ;Aug-11;;
1;1;1;42;M;1;2;A;Annually;Inforce; 100,000 ;NO NLG;0;0;0;N;8;9; 200 ;Aug-11;;
1;1;2;40;M;2;3;A;Annually;Lapse; 80,000 ;NO NLG;0;0;0;N;8;9; 1,289 ;Aug-11;;
1;1;3;39;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;8;9; 216 ;Aug-11;;
1;1;4;44;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.916666667;8; 140 ;Sep-11;;
1;1;1;36;M;2;3;A;Monthly;Lapse; 40,000 ;NO NLG;0;0;0;N;7.916666667;8; 336 ;Sep-11;;
1;1;1;50;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.916666667;8; 537 ;Sep-11;;
1;1;5;42;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.916666667;8; 200 ;Sep-11;;
1;1;2;37;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.833333333;8; 82 ;Oct-11;;
1;1;3;34;F;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.833333333;8; 73 ;Oct-11;;
1;1;1;31;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 151 ;Oct-11;;
1;1;1;28;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 151 ;Oct-11;;
1;1;1;54;F;2;3;A;Annually;Expired; 49,000 ;NO NLG;0;0;0;N;7.75;8; - ;Nov-11;;
1;1;3;20;F;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.75;8; 55 ;Nov-11;;
1;1;3;23;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.75;8; 72 ;Nov-11;;
1;1;3;32;F;2;3;A;Annually;Expired; 20,000 ;NO NLG;0;0;0;N;7.75;8; 63 ;Nov-11;;
1;1;6;18;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.666666667;8; 151 ;Dec-11;;
1;1;1;26;M;1;1;A;Monthly;Lapse; 200,000 ;NO NLG;0;0;0;N;7.666666667;8; 302 ;Dec-11;;
1;1;4;43;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.666666667;8; 151 ;Dec-11;;
1;1;6;23;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.666666667;8; 151 ;Dec-11;;
1;1;4;23;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.583333333;8; 216 ;Jan-12;;
1;1;7;40;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.583333333;8; 151 ;Jan-12;;
1;1;6;30;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.583333333;8; 175 ;Jan-12;;
1;1;1;21;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.5;8; 65 ;Feb-12;;
1;1;6;53;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 216 ;Feb-12;;
1;1;1;24;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 200 ;Feb-12;;
1;1;8;52;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 140 ;Feb-12;;
1;1;4;24;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.416666667;8; 216 ;Mar-12;;
1;1;9;30;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.416666667;8; 175 ;Mar-12;;
1;1;6;29;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.416666667;8; 61 ;Mar-12;;
